date,province,total_cases,new_cases,incidence,incidence_trend
2020-02-25,Varese,0,0.0,0.0,
2020-02-25,Como,0,0.0,0.0,
2020-02-25,Sondrio,1,1.0,0.5542469170015242,
2020-02-25,Milano,8,8.0,0.24499843354126552,
2020-02-25,Bergamo,18,18.0,1.62436401636637,
2020-02-25,Brescia,0,0.0,0.0,
2020-02-25,Pavia,27,27.0,4.996520940974433,
2020-02-25,Cremona,53,53.0,14.891488811715387,
2020-02-25,Mantova,0,0.0,0.0,
2020-02-25,Lecco,0,0.0,0.0,
2020-02-25,Lodi,125,125.0,54.966316641162294,
2020-02-25,Monza e della Brianza,3,3.0,0.3447511069383458,
2020-02-26,Varese,0,0.0,0.0,
2020-02-26,Como,0,0.0,0.0,
2020-02-26,Sondrio,3,2.0,1.1084938340030484,
2020-02-26,Milano,8,0.0,0.0,
2020-02-26,Bergamo,20,2.0,0.18048489070737442,
2020-02-26,Brescia,2,2.0,0.15930707793381907,
2020-02-26,Pavia,27,0.0,0.0,
2020-02-26,Cremona,57,4.0,1.1238859480539916,
2020-02-26,Mantova,0,0.0,0.0,
2020-02-26,Lecco,0,0.0,0.0,
2020-02-26,Lodi,128,3.0,1.319191599387895,
2020-02-26,Monza e della Brianza,4,1.0,0.11491703564611529,
2020-02-27,Varese,0,0.0,0.0,
2020-02-27,Como,0,0.0,0.0,
2020-02-27,Sondrio,3,0.0,0.0,
2020-02-27,Milano,15,7.0,0.21437362934860735,
2020-02-27,Bergamo,72,52.0,4.692607158391735,
2020-02-27,Brescia,10,8.0,0.6372283117352763,
2020-02-27,Pavia,36,9.0,1.6655069803248108,
2020-02-27,Cremona,91,34.0,9.553030558458929,
2020-02-27,Mantova,0,0.0,0.0,
2020-02-27,Lecco,0,0.0,0.0,
2020-02-27,Lodi,159,31.0,13.631646527008249,
2020-02-27,Monza e della Brianza,5,1.0,0.11491703564611529,
2020-02-28,Varese,3,3.0,0.33903055343347543,0.06457724827304294
2020-02-28,Como,0,0.0,0.0,0.04780692884942586
2020-02-28,Sondrio,3,0.0,0.0,0.2375343930006532
2020-02-28,Milano,29,14.0,0.4287472586972147,0.2537483775963107
2020-02-28,Bergamo,103,31.0,2.7975158059643035,3.1327020315637126
2020-02-28,Brescia,13,3.0,0.2389606169007286,0.6827446197163674
2020-02-28,Pavia,49,13.0,2.4057323049136157,2.1942393550310997
2020-02-28,Cremona,123,32.0,8.991087584431932,8.95094880057286
2020-02-28,Mantova,0,0.0,0.0,0.1755351100060981
2020-02-28,Lecco,0,0.0,0.0,0.1279466650062033
2020-02-28,Lodi,182,23.0,10.113802261973863,24.12236067452151
2020-02-28,Monza e della Brianza,6,1.0,0.11491703564611529,0.13133375502413175
2020-02-29,Varese,4,1.0,0.11301018447782514,0.11301018447782514
2020-02-29,Como,1,1.0,0.16732425097299053,0.09561385769885172
2020-02-29,Sondrio,3,0.0,0.0,0.15835626200043548
2020-02-29,Milano,30,1.0,0.03062480419265819,0.37187262233942087
2020-02-29,Bergamo,110,7.0,0.6316971174758105,4.563689379315038
2020-02-29,Brescia,14,1.0,0.07965353896690953,0.97860062159346
2020-02-29,Pavia,55,6.0,1.1103379868832073,2.5114787798548734
2020-02-29,Cremona,136,13.0,3.652629331175472,9.392475423022644
2020-02-29,Mantova,1,1.0,0.24574915400853733,0.5266053300182942
2020-02-29,Lecco,0,0.0,0.0,0.1705955533416044
2020-02-29,Lodi,237,55.0,24.18517932211141,22.426257189594217
2020-02-29,Monza e della Brianza,6,0.0,0.0,0.09850031626809883
2020-03-01,Varese,4,0.0,0.0,0.17758743275086808
2020-03-01,Como,2,1.0,0.16732425097299053,0.11951732212356465
2020-03-01,Sondrio,3,0.0,0.0,0.07917813100021774
2020-03-01,Milano,46,16.0,0.48999686708253104,0.599371167770596
2020-03-01,Bergamo,209,99.0,8.934002090015033,5.1953864967908485
2020-03-01,Brescia,49,35.0,2.7878738638418334,1.4223846244090985
2020-03-01,Pavia,78,23.0,4.256295616385628,2.617225254796131
2020-03-01,Cremona,214,78.0,21.915775987052832,11.07830434510363
2020-03-01,Mantova,4,3.0,0.737247462025612,0.7723544840268315
2020-03-01,Lecco,2,2.0,0.5970844366956154,0.2132444416770055
2020-03-01,Lodi,344,107.0,47.051167044834926,27.0748371112468
2020-03-01,Monza e della Brianza,6,0.0,0.0,0.11491703564611529
2020-03-02,Varese,4,0.0,0.0,0.2744533051604325
2020-03-02,Como,2,0.0,0.0,0.26293810867184225
2020-03-02,Sondrio,3,0.0,0.0,0.07917813100021774
2020-03-02,Milano,58,12.0,0.3674976503118983,0.7962449090091128
2020-03-02,Bergamo,243,34.0,3.0682431420253655,5.994676727066364
2020-03-02,Brescia,60,11.0,0.8761889286360048,1.6499661643145545
2020-03-02,Pavia,83,5.0,0.9252816557360061,3.0402111545611623
2020-03-02,Cremona,223,9.0,2.5287433831214807,12.643716915607403
2020-03-02,Mantova,5,1.0,0.24574915400853733,0.91278257203171
